meter_id,avg_daily_gal,peak_hourly_gal,base_hourly_gal,peak_to_median,night_share,weekend_ratio,summer_ratio,usage_tier,usage_pattern,customer_class
M00001,352.027,113.96,0,10.801895734597155,0.03920027598893141,1.088835753156977,1.3122585392483477,High,Highly peaked,Multi-family
M00002,1285.3772222222221,309.92,5.688000000000001,6.948099988790494,0.032976138868010645,1.1621818276930187,1.2791064828403382,Very High,Typical indoor,Multi-family
M00003,111.50533333333333,53.53,0,5353,0.02960097573808129,0.997567367043209,1.428547344253964,Medium,Highly peaked,Residential
M00004,1202.5826666666667,465.84,5.667999999999999,11.051957295373665,0.036204394911544084,1.1148295172162834,1.2491678023798787,Very High,Highly peaked,Multi-family
M00005,368.2146666666667,111.11,0,9.759332454984628,0.039359588549191714,1.1476590548002246,1.3432257639473777,High,Highly peaked,Residential
M00006,261.9968888888889,99.82,0,12.813863928112964,0.042428408819103876,1.157962367988297,1.2158571535714493,Medium,Highly peaked,Residential
M00007,1503.7426666666665,319.46,8.038,6.761773732670123,0.050905577520503655,1.1740918055517977,1.291769966514222,Very High,Typical indoor,Commercial
M00008,553.1688888888889,175.77,0,9.414568826995179,0.039671026730835675,1.0863880512999713,1.2897834156617458,High,Highly peaked,Residential
M00009,289.4331111111111,140.98,0,17.057471264367813,0.03650046950014933,1.0758005558626518,1.4106872383839788,Medium,Highly peaked,Residential
M00010,3138.3956666666663,481.1,28.736,4.366293052593366,0.10228920572687511,1.1143370119735487,1.430382015578891,Very High,Typical indoor,Commercial
M00011,624.6113333333334,224.93,8.88,11.767198535181793,0.08231358807663859,1.1280079261804605,1.1993275857156867,High,Highly peaked,Residential
M00012,1516.7171111111113,453.06,7.209,9.276412776412776,0.053255811125402855,1.1357342902902559,1.3001955902979514,Very High,Highly peaked,Commercial
M00013,973.5516666666666,279.52,0,8.445988820063453,0.03642162460133087,1.1286853051376513,1.2680785571753928,Very High,Highly peaked,Multi-family
M00014,216.47933333333333,92.41,0,13.163817663817664,0.04020501828760662,1.090527182744538,1.1967086109944312,Medium,Highly peaked,Residential
M00015,185.59922222222224,83.97,0,14.91474245115453,0.03637766681254052,1.0993531480795196,1.289589165773569,Medium,Highly peaked,Residential
M00016,951.5373333333333,255.13,0,7.792608430054978,0.03701635575459408,1.1516975894720505,1.2598266345771527,Very High,Typical indoor,Multi-family
M00017,3160.1096666666667,1711.58,0,90.77592150623177,0.4154875848717909,1.1771253658257892,1.228633992515248,Very High,High overnight / possible waste,Irrigation
M00018,165.62099999999998,74.79,0,16.863585118376548,0.030508745200722668,1.1531484342230451,1.2726548687254182,Medium,Highly peaked,Residential
M00019,241.44066666666666,89.95,0,12.163624070317784,0.037261972805833134,1.0559190713111228,1.3615768595762041,Medium,Highly peaked,Residential
M00020,232.48633333333333,96.69,0,13.33655172413793,0.04284457342056427,1.2326468876727839,1.3572620391833705,Medium,Highly peaked,Residential
M00021,995.1653333333334,251.49,0,7.417490045715971,0.039027239248241044,1.1261738476817755,1.237311983479059,Very High,Typical indoor,Multi-family
M00022,371.4178888888889,138.01,0,12.540663334847796,0.03749954005087411,1.1790260637056535,1.2981977825853723,High,Highly peaked,Residential
M00023,3315.3731111111115,1411.15,5.138999999999999,17.16727493917275,0.3373923591908107,1.0881575790121476,1.6071676236010783,Very High,High overnight / possible waste,Irrigation
M00024,971.0408888888888,277.33,0,8.293361244019138,0.036643954116590584,1.128270713366999,1.2707117640570915,Very High,Highly peaked,Multi-family
M00025,241.781,97.94,0,13.076101468624833,0.03821961931573522,1.1223690037310599,1.2777768465992314,Medium,Highly peaked,Residential
M00026,292.2178888888889,112.32,0,13.152224824355972,0.035542352148948214,1.1746419490872755,1.3189828877824223,Medium,Highly peaked,Residential
M00027,295.81111111111113,113.85,2.89,14.046884639111658,0.06992750629155242,1.2008052258864268,1.203928308916223,Medium,Highly peaked,Residential
M00028,1048.782888888889,247.95,5.209,6.921144452198185,0.03633237935274391,1.1358176337237436,1.249002604158767,Very High,Typical indoor,Multi-family
M00029,223.04322222222223,89.33,0,13.146431199411332,0.027213958032050588,1.1600465442254428,1.3219959683222846,Medium,Highly peaked,Residential
M00030,886.629,208.85,0,6.962827137856309,0.03712902089449664,1.1616719453950368,1.304560439567364,Very High,Typical indoor,Multi-family
